,Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PlayerID,Name
50,26,Kent Bazemore\bazemke01,Projected,0.0025925925925925925,0.0061574074074074074,0.000925925925925926,0.0024074074074074076,0.0012962962962962963,0.0016666666666666668,0.0002777777777777778,0.0023148148148148147,0.0018055555555555555,0.0008333333333333334,0.0004166666666666667,0.0012962962962962963,0.001388888888888889,0.007361111111111112,0.42,0.374,0.773,bazemke01,Kent Bazemore
52,27,Bradley Beal\bealbr01,Projected,0.0038425925925925928,0.00814814814814815,0.0012037037037037038,0.0030555555555555553,0.0016666666666666668,0.0020370370370370373,0.0003703703703703704,0.0019444444444444446,0.0019444444444444446,0.0005555555555555556,0.0001851851851851852,0.0011111111111111111,0.0009722222222222223,0.010555555555555556,0.472,0.391,0.803,bealbr01,Bradley Beal
54,28,Malik Beasley\beaslma01,Projected,0.0024074074074074076,0.005462962962962963,0.0008333333333333334,0.0023148148148148147,0.000787037037037037,0.0010648148148148147,0.000462962962962963,0.0022685185185185187,0.0010648148148148147,0.0005092592592592593,0.0002314814814814815,0.0007407407407407408,0.0010648148148148147,0.006388888888888889,0.438,0.353,0.717,beaslma01,Malik Beasley
56,29,Michael Beasley\beaslmi01,Projected,0.003981481481481482,0.007824074074074074,0.0003703703703703704,0.000925925925925926,0.0012962962962962963,0.0016666666666666668,0.000925925925925926,0.003935185185185185,0.0012037037037037038,0.0004166666666666667,0.0004166666666666667,0.0013425925925925925,0.0015277777777777776,0.009583333333333333,0.507,0.392,0.77,beaslmi01,Michael Beasley
58,30,Jordan Bell\belljo01,Projected,0.0025,0.004166666666666667,0.0001388888888888889,0.0004166666666666667,0.0007407407407407408,0.0010185185185185186,0.0011574074074074073,0.004120370370370371,0.0020370370370370373,0.0006944444444444445,0.0010185185185185186,0.0010185185185185186,0.0017592592592592592,0.005833333333333334,0.594,0.306,0.711,belljo01,Jordan Bell
60,31,DeAndre' Bembry\bembrde01,Projected,0.002175925925925926,0.004861111111111111,0.0003703703703703704,0.0012037037037037038,0.0006944444444444445,0.0011574074074074073,0.000462962962962963,0.002777777777777778,0.0016666666666666668,0.0006481481481481481,0.0003703703703703704,0.0012962962962962963,0.00125,0.005462962962962963,0.447,0.324,0.607,bembrde01,DeAndre' Bembry
62,32,Dragan Bender\bendedr01,Projected,0.0016666666666666668,0.004074074074074075,0.000925925925925926,0.0025925925925925925,0.0003703703703703704,0.000462962962962963,0.0004166666666666667,0.0030092592592592593,0.0010648148148148147,0.0002314814814814815,0.000462962962962963,0.0008796296296296296,0.001388888888888889,0.004583333333333333,0.402,0.367,0.746,bendedr01,Dragan Bender
64,33,Dāvis Bertāns\bertada01,Projected,0.0024537037037037036,0.005462962962962963,0.001388888888888889,0.003611111111111111,0.0006481481481481481,0.0008333333333333334,0.0003703703703703704,0.002361111111111111,0.0011574074074074073,0.0004166666666666667,0.000462962962962963,0.0006018518518518519,0.0014351851851851852,0.006898148148148148,0.446,0.382,0.811,bertada01,Dāvis Bertāns
66,34,Patrick Beverley\beverpa01,Projected,0.0020370370370370373,0.004907407407407407,0.000925925925925926,0.0024537037037037036,0.0006481481481481481,0.0008333333333333334,0.0007407407407407408,0.002777777777777778,0.0020370370370370373,0.000787037037037037,0.0002314814814814815,0.0008796296296296296,0.0017592592592592592,0.005694444444444445,0.421,0.386,0.763,beverpa01,Patrick Beverley
68,35,Khem Birch\birchkh01,Projected,0.0021296296296296293,0.004166666666666667,0.0001851851851851852,0.000462962962962963,0.0012037037037037038,0.001712962962962963,0.001712962962962963,0.004722222222222222,0.0011111111111111111,0.000462962962962963,0.0005555555555555556,0.0006944444444444445,0.0015277777777777776,0.005694444444444445,0.518,0.366,0.708,birchkh01,Khem Birch
70,36,Jabari Bird\birdja01,Projected,0.0025462962962962965,0.005046296296296296,0.0006018518518518519,0.001574074074074074,0.0010648148148148147,0.0016666666666666668,0.0007407407407407408,0.0029629629629629632,0.0014351851851851852,0.0005092592592592593,0.0002777777777777778,0.0010185185185185186,0.0012037037037037038,0.006759259259259259,0.504,0.386,0.633,birdja01,Jabari Bird
71,37,Bismack Biyombo\biyombi01,Projected,0.001898148148148148,0.0036574074074074074,4.62962962962963e-05,0.0001388888888888889,0.0011574074074074073,0.001898148148148148,0.0015277777777777776,0.005231481481481482,0.0007407407407407408,0.0002314814814814815,0.0009722222222222223,0.0008796296296296296,0.0018055555555555555,0.005046296296296296,0.522,0.338,0.615,biyombi01,Bismack Biyombo
73,38,Nemanja Bjelica\bjeline01,Projected,0.0020833333333333333,0.004675925925925925,0.0008333333333333334,0.0022685185185185187,0.0005555555555555556,0.0007407407407407408,0.0006944444444444445,0.0032870370370370367,0.0011111111111111111,0.0005555555555555556,0.0002314814814814815,0.0006944444444444445,0.001851851851851852,0.005601851851851852,0.449,0.38,0.766,bjeline01,Nemanja Bjelica
